,현재가,누적거래량
154503,+6180,40451
153032,+6180,40447
151810,+6200,39192
151805,+6200,39191
151800,+6200,39190
151756,+6200,39189
151643,+6180,39188
151643,+6190,39128
151643,+6190,39118
151512,+6200,39105
151218,+6200,39104
151212,+6200,38749
151131,+6200,38747
151102,+6200,38746
151023,+6190,38745
150859,+6190,38744
150607,+6190,38743
150528,+6190,38740
150524,+6190,38739
150514,+6200,38738
150406,+6200,38728
150257,+6200,38718
150206,+6170,38717
150206,+6180,38467
150048,+6180,37686
145757,+6190,37387
145757,+6190,37357
145757,+6200,36888
145752,+6200,36618
145644,+6200,36588
145221,+6220,36088
145217,+6220,36087
144758,+6190,36086
144758,+6200,35945
144720,+6220,35280
144720,+6220,35263
144444,+6220,35163
144444,+6220,35162
144432,+6220,35159
144431,+6220,35151
144426,+6220,35100
144340,+6220,35051
144315,+6220,35050
144305,+6220,34994
144305,+6220,34953
144128,+6210,34952
144111,+6210,34167
144052,+6210,33952
144009,+6220,33882
143950,+6220,33828
143943,+6230,33728
143904,+6220,33727
143745,+6220,33651
143627,+6220,33398
143243,+6220,33348
143120,+6220,33081
142913,+6200,33080
142520,+6200,32611
142510,+6190,32211
142448,+6180,31614
141720,+6190,31314
141316,+6200,31194
141312,+6200,31193
141307,+6200,31192
141255,+6180,31191
141255,+6190,30902
141223,+6200,30891
141118,+6190,30890
141118,+6190,30840
141034,+6190,30540
140749,+6200,30340
140335,+6200,30213
140130,+6200,29514
140037,+6200,28613
140028,+6200,28514
140021,+6200,27613
140019,+6200,27603
140015,+6200,27514
140015,+6200,27374
140001,+6200,27274
135858,+6200,26974
135852,+6200,26503
135850,+6200,25974
135844,+6200,25503
135843,+6200,25474
135841,+6200,24974
135839,+6200,24697
135836,+6200,24474
135824,+6200,23697
135757,+6200,23447
135749,+6200,23167
135642,+6210,22719
135518,+6210,22674
135424,+6210,22619
135354,+6210,22426
135349,+6210,22381
135304,+6210,22081
135235,+6210,21781
135211,+6220,21481
135123,+6220,21459
135042,+6230,21449
134901,+6220,21439
134835,+6220,20989
134758,+6220,20439
134748,+6220,19989
134705,+6220,19439
134653,+6220,19289
134519,+6220,18989
134401,+6220,18889
133609,+6220,18639
133233,+6220,18482
133010,+6220,18481
132754,+6210,18480
132554,+6210,18280
132418,+6210,18279
131907,+6220,18179
131824,+6220,18177
131752,+6220,18168
130519,+6230,18167
130257,+6230,18157
125612,+6220,18156
124902,+6220,17665
124817,+6210,17663
124741,+6220,17103
124724,+6220,17003
124704,+6220,16996
124553,+6220,16786
124230,+6230,16483
124229,+6230,16475
124132,+6230,16473
124109,+6230,16468
124105,+6230,16464
124022,+6240,16264
123842,+6240,16067
123758,+6240,16060
123521,+6240,15893
123354,+6240,15793
123350,+6240,15743
123340,+6230,15742
123332,+6240,15702
123329,+6240,15701
123306,+6230,15700
123215,+6240,15699
123215,+6230,15695
123158,+6230,15679
123126,+6230,15675
123038,+6240,15674
122930,+6230,15672
122859,+6220,15099
122836,+6210,14619
122451,+6220,14610
122444,+6210,14586
122259,+6210,14524
122231,+6200,14424
122148,+6200,13448
122121,+6200,13419
122119,+6200,13319
121934,+6200,13089
121915,+6190,12589
121907,+6190,12449
121251,+6190,12060
120341,+6190,12059
115933,+6190,11989
115232,+6190,11909
115214,+6190,11509
113435,+6190,11479
112935,+6190,11309
112804,+6170,11308
112524,+6170,11307
112147,+6170,11208
112033,+6170,11080
112014,+6170,10986
111831,+6180,10980
111451,+6170,10979
110709,+6190,10978
110602,+6170,10977
110601,+6170,10976
110545,+6170,10946
110500,+6190,10944
110445,+6190,10943
110114,+6190,10843
110103,+6170,10842
110103,+6180,10752
105718,+6190,10742
105518,+6200,10685
105229,+6210,10585
105201,+6210,10573
104924,+6210,10085
104820,+6180,10084
104726,+6210,7084
104617,+6180,7083
104617,+6190,7029
104201,+6210,7019
104158,+6200,6809
104151,+6210,6509
104146,+6200,6508
104136,+6200,6507
104043,+6210,6506
104006,+6200,6505
103917,+6190,6323
103912,+6190,6293
103905,+6190,6283
103859,+6190,6248
103646,+6190,6232
103554,+6180,6231
103507,+6180,5751
103316,+6190,5251
103010,+6180,5250
103010,+6190,4970
103007,+6200,4950
102704,+6180,4949
102646,+6180,4811
102343,6160,4649
102315,6160,4149
102234,6160,4104
102231,6160,3934
101934,6160,3734
101814,6160,3619
101811,6160,3299
101647,-6150,3298
101647,-6150,3296
101647,-6150,3291
101516,-6150,3157
101121,-6150,2759
100959,-6120,2739
100914,-6150,2239
100809,-6120,2238
100743,6160,2215
100721,6160,2175
100619,6160,2155
100619,6160,2154
100554,6160,2147
100527,6160,2139
100527,6160,2138
100500,6160,2135
100327,6160,2125
100327,6160,2120
100152,+6200,2057
095908,+6190,2056
095906,+6190,1988
095849,+6190,1896
095849,+6180,1895
095841,+6180,1890
095839,+6180,1710
095805,6160,1708
095435,+6180,1697
095408,+6170,1696
095405,+6170,1671
095342,+6170,1668
094942,+6170,1568
094942,6160,1520
094410,+6180,1498
094342,+6170,1497
094119,+6170,1467
094108,+6170,1424
094101,+6170,1378
094101,+6170,1369
094101,+6170,1289
094054,+6170,1276
094043,+6170,1244
094000,6160,1130
094000,-6150,1098
093146,6160,1092
093051,-6120,1091
092606,-6150,1072
092341,-6120,1031
092341,-6130,996
091917,-6150,941
090841,+6190,928
090841,6160,926
090308,-6150,918
090250,-6150,909
090249,-6110,908
090127,-6110,420
090051,-6110,154
090030,-6110,65
